region,year,"15-19","20-24","25-29","30-34","35-39","40-44","45+"
Taranaki Region,2018,16.7,91.5,121.9,122.3,58.2,10.7,0.6
Manawatu-Wanganui Region,2018,19.6,78.1,117.6,113.8,53.1,12.8,0.7
Wellington Region,2018,10.1,35.4,71.5,106.7,68.2,15.1,1.0
Tasman Region,2018,7.1,61.8,106.8,114.6,58.2,13.0,1.2
Nelson Region,2018,11.7,59.6,90.9,106.4,58.7,14.6,0.3
Marlborough Region,2018,17.9,83.0,105.7,112.1,61.3,12.4,0.4
West Coast Region,2018,14.2,88.4,114.9,100.0,65.5,14.2,0.0
Canterbury Region,2018,9.2,45.9,88.7,114.3,66.3,13.3,0.8
Otago Region,2018,6.5,23.8,68.2,98.8,64.7,14.2,0.6
Southland Region,2018,17.0,81.0,102.6,109.8,52.5,12.0,0.6
