Area,Age,Sex,Year at 30 June,Value,Flags
"Rodney local board area","15-19 Years","Female","1996",1200,
"Rodney local board area","15-19 Years","Female","1997",1200,
"Rodney local board area","15-19 Years","Female","1998",1220,
"Rodney local board area","15-19 Years","Female","1999",1250,
"Rodney local board area","15-19 Years","Female","2000",1330,
"Hibiscus and Bays local board area","15-19 Years","Female","1996",2270,
"Hibiscus and Bays local board area","15-19 Years","Female","1997",2260,
"Hibiscus and Bays local board area","15-19 Years","Female","1998",2320,
"Hibiscus and Bays local board area","15-19 Years","Female","1999",2370,
"Hibiscus and Bays local board area","15-19 Years","Female","2000",2510,
"Upper Harbour local board area","15-19 Years","Female","1996",810,
"Upper Harbour local board area","15-19 Years","Female","1997",910,
"Upper Harbour local board area","15-19 Years","Female","1998",980,
"Upper Harbour local board area","15-19 Years","Female","1999",1050,
"Upper Harbour local board area","15-19 Years","Female","2000",1130,
"Kaipatiki local board area","15-19 Years","Female","1996",2710,
"Kaipatiki local board area","15-19 Years","Female","1997",2690,
"Kaipatiki local board area","15-19 Years","Female","1998",2770,
"Kaipatiki local board area","15-19 Years","Female","1999",2850,
"Kaipatiki local board area","15-19 Years","Female","2000",2920,
"Devonport-Takapuna local board area","15-19 Years","Female","1996",1830,
"Devonport-Takapuna local board area","15-19 Years","Female","1997",1820,
"Devonport-Takapuna local board area","15-19 Years","Female","1998",1850,
"Devonport-Takapuna local board area","15-19 Years","Female","1999",1850,
"Devonport-Takapuna local board area","15-19 Years","Female","2000",1830,
"Henderson-Massey local board area","15-19 Years","Female","1996",3080,
"Henderson-Massey local board area","15-19 Years","Female","1997",3010,
"Henderson-Massey local board area","15-19 Years","Female","1998",3100,
"Henderson-Massey local board area","15-19 Years","Female","1999",3170,
"Henderson-Massey local board area","15-19 Years","Female","2000",3300,
"Waitakere Ranges local board area","15-19 Years","Female","1996",1340,
"Waitakere Ranges local board area","15-19 Years","Female","1997",1390,
"Waitakere Ranges local board area","15-19 Years","Female","1998",1430,
"Waitakere Ranges local board area","15-19 Years","Female","1999",1450,
"Waitakere Ranges local board area","15-19 Years","Female","2000",1460,
"Aotea/Great Barrier local board area","15-19 Years","Female","1996",20,
"Aotea/Great Barrier local board area","15-19 Years","Female","1997",25,
"Aotea/Great Barrier local board area","15-19 Years","Female","1998",20,
"Aotea/Great Barrier local board area","15-19 Years","Female","1999",30,
"Aotea/Great Barrier local board area","15-19 Years","Female","2000",25,
"Waiheke local board area","15-19 Years","Female","1996",150,
"Waiheke local board area","15-19 Years","Female","1997",170,
"Waiheke local board area","15-19 Years","Female","1998",170,
"Waiheke local board area","15-19 Years","Female","1999",170,
"Waiheke local board area","15-19 Years","Female","2000",190,
"Waitemata local board area","15-19 Years","Female","1996",1490,
"Waitemata local board area","15-19 Years","Female","1997",1570,
"Waitemata local board area","15-19 Years","Female","1998",1680,
"Waitemata local board area","15-19 Years","Female","1999",1720,
"Waitemata local board area","15-19 Years","Female","2000",1730,
"Whau local board area","15-19 Years","Female","1996",2070,
"Whau local board area","15-19 Years","Female","1997",2090,
"Whau local board area","15-19 Years","Female","1998",2220,
"Whau local board area","15-19 Years","Female","1999",2290,
"Whau local board area","15-19 Years","Female","2000",2290,
"Albert-Eden local board area","15-19 Years","Female","1996",2790,
"Albert-Eden local board area","15-19 Years","Female","1997",2920,
"Albert-Eden local board area","15-19 Years","Female","1998",3050,
"Albert-Eden local board area","15-19 Years","Female","1999",3100,
"Albert-Eden local board area","15-19 Years","Female","2000",3060,
"Puketapapa local board area","15-19 Years","Female","1996",1790,
"Puketapapa local board area","15-19 Years","Female","1997",1810,
"Puketapapa local board area","15-19 Years","Female","1998",1880,
"Puketapapa local board area","15-19 Years","Female","1999",1940,
"Puketapapa local board area","15-19 Years","Female","2000",2010,
"Orakei local board area","15-19 Years","Female","1996",2310,
"Orakei local board area","15-19 Years","Female","1997",2290,
"Orakei local board area","15-19 Years","Female","1998",2330,
"Orakei local board area","15-19 Years","Female","1999",2300,
"Orakei local board area","15-19 Years","Female","2000",2290,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","1996",2010,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","1997",2070,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","1998",2100,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","1999",2080,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","2000",2090,
"Howick local board area","15-19 Years","Female","1996",3310,
"Howick local board area","15-19 Years","Female","1997",3330,
"Howick local board area","15-19 Years","Female","1998",3410,
"Howick local board area","15-19 Years","Female","1999",3490,
"Howick local board area","15-19 Years","Female","2000",3650,
"Mangere-Otahuhu local board area","15-19 Years","Female","1996",2610,
"Mangere-Otahuhu local board area","15-19 Years","Female","1997",2640,
"Mangere-Otahuhu local board area","15-19 Years","Female","1998",2670,
"Mangere-Otahuhu local board area","15-19 Years","Female","1999",2650,
"Mangere-Otahuhu local board area","15-19 Years","Female","2000",2590,
"Otara-Papatoetoe local board area","15-19 Years","Female","1996",2770,
"Otara-Papatoetoe local board area","15-19 Years","Female","1997",2790,
"Otara-Papatoetoe local board area","15-19 Years","Female","1998",2850,
"Otara-Papatoetoe local board area","15-19 Years","Female","1999",2860,
"Otara-Papatoetoe local board area","15-19 Years","Female","2000",2880,
"Manurewa local board area","15-19 Years","Female","1996",2280,
"Manurewa local board area","15-19 Years","Female","1997",2350,
"Manurewa local board area","15-19 Years","Female","1998",2470,
"Manurewa local board area","15-19 Years","Female","1999",2490,
"Manurewa local board area","15-19 Years","Female","2000",2570,
"Papakura local board area","15-19 Years","Female","1996",1490,
"Papakura local board area","15-19 Years","Female","1997",1440,
"Papakura local board area","15-19 Years","Female","1998",1390,
"Papakura local board area","15-19 Years","Female","1999",1400,
"Papakura local board area","15-19 Years","Female","2000",1400,
"Franklin local board area","15-19 Years","Female","1996",1510,
"Franklin local board area","15-19 Years","Female","1997",1530,
"Franklin local board area","15-19 Years","Female","1998",1550,
"Franklin local board area","15-19 Years","Female","1999",1600,
"Franklin local board area","15-19 Years","Female","2000",1640,
"Rodney local board area","20-24 Years","Female","1996",910,
"Rodney local board area","20-24 Years","Female","1997",920,
"Rodney local board area","20-24 Years","Female","1998",900,
"Rodney local board area","20-24 Years","Female","1999",880,
"Rodney local board area","20-24 Years","Female","2000",850,
"Hibiscus and Bays local board area","20-24 Years","Female","1996",1880,
"Hibiscus and Bays local board area","20-24 Years","Female","1997",1930,
"Hibiscus and Bays local board area","20-24 Years","Female","1998",1910,
"Hibiscus and Bays local board area","20-24 Years","Female","1999",1820,
"Hibiscus and Bays local board area","20-24 Years","Female","2000",1780,
"Upper Harbour local board area","20-24 Years","Female","1996",770,
"Upper Harbour local board area","20-24 Years","Female","1997",810,
"Upper Harbour local board area","20-24 Years","Female","1998",890,
"Upper Harbour local board area","20-24 Years","Female","1999",960,
"Upper Harbour local board area","20-24 Years","Female","2000",1030,
"Kaipatiki local board area","20-24 Years","Female","1996",3110,
"Kaipatiki local board area","20-24 Years","Female","1997",3070,
"Kaipatiki local board area","20-24 Years","Female","1998",2950,
"Kaipatiki local board area","20-24 Years","Female","1999",2800,
"Kaipatiki local board area","20-24 Years","Female","2000",2730,
"Devonport-Takapuna local board area","20-24 Years","Female","1996",1900,
"Devonport-Takapuna local board area","20-24 Years","Female","1997",1830,
"Devonport-Takapuna local board area","20-24 Years","Female","1998",1760,
"Devonport-Takapuna local board area","20-24 Years","Female","1999",1720,
"Devonport-Takapuna local board area","20-24 Years","Female","2000",1730,
"Henderson-Massey local board area","20-24 Years","Female","1996",3310,
"Henderson-Massey local board area","20-24 Years","Female","1997",3330,
"Henderson-Massey local board area","20-24 Years","Female","1998",3230,
"Henderson-Massey local board area","20-24 Years","Female","1999",3180,
"Henderson-Massey local board area","20-24 Years","Female","2000",3120,
"Waitakere Ranges local board area","20-24 Years","Female","1996",1350,
"Waitakere Ranges local board area","20-24 Years","Female","1997",1330,
"Waitakere Ranges local board area","20-24 Years","Female","1998",1320,
"Waitakere Ranges local board area","20-24 Years","Female","1999",1280,
"Waitakere Ranges local board area","20-24 Years","Female","2000",1280,
"Aotea/Great Barrier local board area","20-24 Years","Female","1996",25,
"Aotea/Great Barrier local board area","20-24 Years","Female","1997",25,
"Aotea/Great Barrier local board area","20-24 Years","Female","1998",20,
"Aotea/Great Barrier local board area","20-24 Years","Female","1999",20,
"Aotea/Great Barrier local board area","20-24 Years","Female","2000",15,
"Waiheke local board area","20-24 Years","Female","1996",150,
"Waiheke local board area","20-24 Years","Female","1997",150,
"Waiheke local board area","20-24 Years","Female","1998",150,
"Waiheke local board area","20-24 Years","Female","1999",140,
"Waiheke local board area","20-24 Years","Female","2000",140,
"Waitemata local board area","20-24 Years","Female","1996",2940,
"Waitemata local board area","20-24 Years","Female","1997",3090,
"Waitemata local board area","20-24 Years","Female","1998",3260,
"Waitemata local board area","20-24 Years","Female","1999",3440,
"Waitemata local board area","20-24 Years","Female","2000",3680,
"Whau local board area","20-24 Years","Female","1996",2300,
"Whau local board area","20-24 Years","Female","1997",2320,
"Whau local board area","20-24 Years","Female","1998",2270,
"Whau local board area","20-24 Years","Female","1999",2250,
"Whau local board area","20-24 Years","Female","2000",2330,
"Albert-Eden local board area","20-24 Years","Female","1996",4380,
"Albert-Eden local board area","20-24 Years","Female","1997",4280,
"Albert-Eden local board area","20-24 Years","Female","1998",4110,
"Albert-Eden local board area","20-24 Years","Female","1999",4040,
"Albert-Eden local board area","20-24 Years","Female","2000",4120,
"Puketapapa local board area","20-24 Years","Female","1996",1780,
"Puketapapa local board area","20-24 Years","Female","1997",1820,
"Puketapapa local board area","20-24 Years","Female","1998",1790,
"Puketapapa local board area","20-24 Years","Female","1999",1770,
"Puketapapa local board area","20-24 Years","Female","2000",1800,
"Orakei local board area","20-24 Years","Female","1996",2740,
"Orakei local board area","20-24 Years","Female","1997",2630,
"Orakei local board area","20-24 Years","Female","1998",2500,
"Orakei local board area","20-24 Years","Female","1999",2460,
"Orakei local board area","20-24 Years","Female","2000",2430,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","1996",2600,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","1997",2610,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","1998",2640,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","1999",2620,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2000",2560,
"Howick local board area","20-24 Years","Female","1996",2870,
"Howick local board area","20-24 Years","Female","1997",2910,
"Howick local board area","20-24 Years","Female","1998",2900,
"Howick local board area","20-24 Years","Female","1999",2880,
"Howick local board area","20-24 Years","Female","2000",2910,
"Mangere-Otahuhu local board area","20-24 Years","Female","1996",2760,
"Mangere-Otahuhu local board area","20-24 Years","Female","1997",2670,
"Mangere-Otahuhu local board area","20-24 Years","Female","1998",2610,
"Mangere-Otahuhu local board area","20-24 Years","Female","1999",2580,
"Mangere-Otahuhu local board area","20-24 Years","Female","2000",2600,
"Otara-Papatoetoe local board area","20-24 Years","Female","1996",3100,
"Otara-Papatoetoe local board area","20-24 Years","Female","1997",3000,
"Otara-Papatoetoe local board area","20-24 Years","Female","1998",2880,
"Otara-Papatoetoe local board area","20-24 Years","Female","1999",2800,
"Otara-Papatoetoe local board area","20-24 Years","Female","2000",2800,
"Manurewa local board area","20-24 Years","Female","1996",2530,
"Manurewa local board area","20-24 Years","Female","1997",2540,
"Manurewa local board area","20-24 Years","Female","1998",2510,
"Manurewa local board area","20-24 Years","Female","1999",2490,
"Manurewa local board area","20-24 Years","Female","2000",2500,
"Papakura local board area","20-24 Years","Female","1996",1460,
"Papakura local board area","20-24 Years","Female","1997",1460,
"Papakura local board area","20-24 Years","Female","1998",1390,
"Papakura local board area","20-24 Years","Female","1999",1370,
"Papakura local board area","20-24 Years","Female","2000",1360,
"Franklin local board area","20-24 Years","Female","1996",1330,
"Franklin local board area","20-24 Years","Female","1997",1290,
"Franklin local board area","20-24 Years","Female","1998",1270,
"Franklin local board area","20-24 Years","Female","1999",1240,
"Franklin local board area","20-24 Years","Female","2000",1200,
"Rodney local board area","25-29 Years","Female","1996",1190,
"Rodney local board area","25-29 Years","Female","1997",1190,
"Rodney local board area","25-29 Years","Female","1998",1200,
"Rodney local board area","25-29 Years","Female","1999",1160,
"Rodney local board area","25-29 Years","Female","2000",1150,
"Hibiscus and Bays local board area","25-29 Years","Female","1996",2010,
"Hibiscus and Bays local board area","25-29 Years","Female","1997",2100,
"Hibiscus and Bays local board area","25-29 Years","Female","1998",2120,
"Hibiscus and Bays local board area","25-29 Years","Female","1999",2100,
"Hibiscus and Bays local board area","25-29 Years","Female","2000",2090,
"Upper Harbour local board area","25-29 Years","Female","1996",990,
"Upper Harbour local board area","25-29 Years","Female","1997",1060,
"Upper Harbour local board area","25-29 Years","Female","1998",1080,
"Upper Harbour local board area","25-29 Years","Female","1999",1120,
"Upper Harbour local board area","25-29 Years","Female","2000",1120,
"Kaipatiki local board area","25-29 Years","Female","1996",3410,
"Kaipatiki local board area","25-29 Years","Female","1997",3460,
"Kaipatiki local board area","25-29 Years","Female","1998",3480,
"Kaipatiki local board area","25-29 Years","Female","1999",3390,
"Kaipatiki local board area","25-29 Years","Female","2000",3320,
"Devonport-Takapuna local board area","25-29 Years","Female","1996",1920,
"Devonport-Takapuna local board area","25-29 Years","Female","1997",1960,
"Devonport-Takapuna local board area","25-29 Years","Female","1998",1950,
"Devonport-Takapuna local board area","25-29 Years","Female","1999",1850,
"Devonport-Takapuna local board area","25-29 Years","Female","2000",1780,
"Henderson-Massey local board area","25-29 Years","Female","1996",3660,
"Henderson-Massey local board area","25-29 Years","Female","1997",3720,
"Henderson-Massey local board area","25-29 Years","Female","1998",3740,
"Henderson-Massey local board area","25-29 Years","Female","1999",3740,
"Henderson-Massey local board area","25-29 Years","Female","2000",3770,
"Waitakere Ranges local board area","25-29 Years","Female","1996",1710,
"Waitakere Ranges local board area","25-29 Years","Female","1997",1680,
"Waitakere Ranges local board area","25-29 Years","Female","1998",1650,
"Waitakere Ranges local board area","25-29 Years","Female","1999",1610,
"Waitakere Ranges local board area","25-29 Years","Female","2000",1550,
"Aotea/Great Barrier local board area","25-29 Years","Female","1996",35,
"Aotea/Great Barrier local board area","25-29 Years","Female","1997",30,
"Aotea/Great Barrier local board area","25-29 Years","Female","1998",30,
"Aotea/Great Barrier local board area","25-29 Years","Female","1999",25,
"Aotea/Great Barrier local board area","25-29 Years","Female","2000",20,
"Waiheke local board area","25-29 Years","Female","1996",180,
"Waiheke local board area","25-29 Years","Female","1997",190,
"Waiheke local board area","25-29 Years","Female","1998",190,
"Waiheke local board area","25-29 Years","Female","1999",180,
"Waiheke local board area","25-29 Years","Female","2000",170,
"Waitemata local board area","25-29 Years","Female","1996",2980,
"Waitemata local board area","25-29 Years","Female","1997",3150,
"Waitemata local board area","25-29 Years","Female","1998",3350,
"Waitemata local board area","25-29 Years","Female","1999",3520,
"Waitemata local board area","25-29 Years","Female","2000",3710,
"Whau local board area","25-29 Years","Female","1996",2680,
"Whau local board area","25-29 Years","Female","1997",2730,
"Whau local board area","25-29 Years","Female","1998",2670,
"Whau local board area","25-29 Years","Female","1999",2600,
"Whau local board area","25-29 Years","Female","2000",2530,
"Albert-Eden local board area","25-29 Years","Female","1996",4690,
"Albert-Eden local board area","25-29 Years","Female","1997",4770,
"Albert-Eden local board area","25-29 Years","Female","1998",4690,
"Albert-Eden local board area","25-29 Years","Female","1999",4600,
"Albert-Eden local board area","25-29 Years","Female","2000",4430,
"Puketapapa local board area","25-29 Years","Female","1996",1920,
"Puketapapa local board area","25-29 Years","Female","1997",1990,
"Puketapapa local board area","25-29 Years","Female","1998",1970,
"Puketapapa local board area","25-29 Years","Female","1999",1920,
"Puketapapa local board area","25-29 Years","Female","2000",1840,
"Orakei local board area","25-29 Years","Female","1996",2960,
"Orakei local board area","25-29 Years","Female","1997",3080,
"Orakei local board area","25-29 Years","Female","1998",3060,
"Orakei local board area","25-29 Years","Female","1999",2960,
"Orakei local board area","25-29 Years","Female","2000",2850,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","1996",3240,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","1997",3350,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","1998",3310,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","1999",3280,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2000",3310,
"Howick local board area","25-29 Years","Female","1996",2560,
"Howick local board area","25-29 Years","Female","1997",2830,
"Howick local board area","25-29 Years","Female","1998",2950,
"Howick local board area","25-29 Years","Female","1999",2980,
"Howick local board area","25-29 Years","Female","2000",2990,
"Mangere-Otahuhu local board area","25-29 Years","Female","1996",2890,
"Mangere-Otahuhu local board area","25-29 Years","Female","1997",2880,
"Mangere-Otahuhu local board area","25-29 Years","Female","1998",2780,
"Mangere-Otahuhu local board area","25-29 Years","Female","1999",2740,
"Mangere-Otahuhu local board area","25-29 Years","Female","2000",2650,
"Otara-Papatoetoe local board area","25-29 Years","Female","1996",3200,
"Otara-Papatoetoe local board area","25-29 Years","Female","1997",3190,
"Otara-Papatoetoe local board area","25-29 Years","Female","1998",3150,
"Otara-Papatoetoe local board area","25-29 Years","Female","1999",3060,
"Otara-Papatoetoe local board area","25-29 Years","Female","2000",2930,
"Manurewa local board area","25-29 Years","Female","1996",2920,
"Manurewa local board area","25-29 Years","Female","1997",2960,
"Manurewa local board area","25-29 Years","Female","1998",2960,
"Manurewa local board area","25-29 Years","Female","1999",2920,
"Manurewa local board area","25-29 Years","Female","2000",2870,
"Papakura local board area","25-29 Years","Female","1996",1680,
"Papakura local board area","25-29 Years","Female","1997",1690,
"Papakura local board area","25-29 Years","Female","1998",1650,
"Papakura local board area","25-29 Years","Female","1999",1610,
"Papakura local board area","25-29 Years","Female","2000",1550,
"Franklin local board area","25-29 Years","Female","1996",1710,
"Franklin local board area","25-29 Years","Female","1997",1730,
"Franklin local board area","25-29 Years","Female","1998",1700,
"Franklin local board area","25-29 Years","Female","1999",1640,
"Franklin local board area","25-29 Years","Female","2000",1630,
"Rodney local board area","30-34 Years","Female","1996",1530,
"Rodney local board area","30-34 Years","Female","1997",1560,
"Rodney local board area","30-34 Years","Female","1998",1560,
"Rodney local board area","30-34 Years","Female","1999",1570,
"Rodney local board area","30-34 Years","Female","2000",1560,
"Hibiscus and Bays local board area","30-34 Years","Female","1996",2450,
"Hibiscus and Bays local board area","30-34 Years","Female","1997",2460,
"Hibiscus and Bays local board area","30-34 Years","Female","1998",2500,
"Hibiscus and Bays local board area","30-34 Years","Female","1999",2580,
"Hibiscus and Bays local board area","30-34 Years","Female","2000",2560,
"Upper Harbour local board area","30-34 Years","Female","1996",1220,
"Upper Harbour local board area","30-34 Years","Female","1997",1270,
"Upper Harbour local board area","30-34 Years","Female","1998",1320,
"Upper Harbour local board area","30-34 Years","Female","1999",1390,
"Upper Harbour local board area","30-34 Years","Female","2000",1460,
"Kaipatiki local board area","30-34 Years","Female","1996",3370,
"Kaipatiki local board area","30-34 Years","Female","1997",3480,
"Kaipatiki local board area","30-34 Years","Female","1998",3540,
"Kaipatiki local board area","30-34 Years","Female","1999",3560,
"Kaipatiki local board area","30-34 Years","Female","2000",3600,
"Devonport-Takapuna local board area","30-34 Years","Female","1996",2060,
"Devonport-Takapuna local board area","30-34 Years","Female","1997",2050,
"Devonport-Takapuna local board area","30-34 Years","Female","1998",2020,
"Devonport-Takapuna local board area","30-34 Years","Female","1999",1990,
"Devonport-Takapuna local board area","30-34 Years","Female","2000",1950,
"Henderson-Massey local board area","30-34 Years","Female","1996",3850,
"Henderson-Massey local board area","30-34 Years","Female","1997",3870,
"Henderson-Massey local board area","30-34 Years","Female","1998",3870,
"Henderson-Massey local board area","30-34 Years","Female","1999",3900,
"Henderson-Massey local board area","30-34 Years","Female","2000",3960,
"Waitakere Ranges local board area","30-34 Years","Female","1996",2040,
"Waitakere Ranges local board area","30-34 Years","Female","1997",2070,
"Waitakere Ranges local board area","30-34 Years","Female","1998",2030,
"Waitakere Ranges local board area","30-34 Years","Female","1999",1970,
"Waitakere Ranges local board area","30-34 Years","Female","2000",1960,
"Aotea/Great Barrier local board area","30-34 Years","Female","1996",40,
"Aotea/Great Barrier local board area","30-34 Years","Female","1997",40,
"Aotea/Great Barrier local board area","30-34 Years","Female","1998",35,
"Aotea/Great Barrier local board area","30-34 Years","Female","1999",35,
"Aotea/Great Barrier local board area","30-34 Years","Female","2000",35,
"Waiheke local board area","30-34 Years","Female","1996",260,
"Waiheke local board area","30-34 Years","Female","1997",270,
"Waiheke local board area","30-34 Years","Female","1998",270,
"Waiheke local board area","30-34 Years","Female","1999",270,
"Waiheke local board area","30-34 Years","Female","2000",270,
"Waitemata local board area","30-34 Years","Female","1996",2590,
"Waitemata local board area","30-34 Years","Female","1997",2660,
"Waitemata local board area","30-34 Years","Female","1998",2740,
"Waitemata local board area","30-34 Years","Female","1999",2820,
"Waitemata local board area","30-34 Years","Female","2000",2960,
"Whau local board area","30-34 Years","Female","1996",2850,
"Whau local board area","30-34 Years","Female","1997",2890,
"Whau local board area","30-34 Years","Female","1998",2960,
"Whau local board area","30-34 Years","Female","1999",2980,
"Whau local board area","30-34 Years","Female","2000",3000,
"Albert-Eden local board area","30-34 Years","Female","1996",4610,
"Albert-Eden local board area","30-34 Years","Female","1997",4690,
"Albert-Eden local board area","30-34 Years","Female","1998",4670,
"Albert-Eden local board area","30-34 Years","Female","1999",4610,
"Albert-Eden local board area","30-34 Years","Female","2000",4620,
"Puketapapa local board area","30-34 Years","Female","1996",1900,
"Puketapapa local board area","30-34 Years","Female","1997",1960,
"Puketapapa local board area","30-34 Years","Female","1998",1960,
"Puketapapa local board area","30-34 Years","Female","1999",1980,
"Puketapapa local board area","30-34 Years","Female","2000",2000,
"Orakei local board area","30-34 Years","Female","1996",3020,
"Orakei local board area","30-34 Years","Female","1997",3030,
"Orakei local board area","30-34 Years","Female","1998",3030,
"Orakei local board area","30-34 Years","Female","1999",3030,
"Orakei local board area","30-34 Years","Female","2000",2980,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","1996",3070,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","1997",3160,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","1998",3200,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","1999",3310,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2000",3400,
"Howick local board area","30-34 Years","Female","1996",2900,
"Howick local board area","30-34 Years","Female","1997",3090,
"Howick local board area","30-34 Years","Female","1998",3200,
"Howick local board area","30-34 Years","Female","1999",3360,
"Howick local board area","30-34 Years","Female","2000",3430,
"Mangere-Otahuhu local board area","30-34 Years","Female","1996",2590,
"Mangere-Otahuhu local board area","30-34 Years","Female","1997",2640,
"Mangere-Otahuhu local board area","30-34 Years","Female","1998",2720,
"Mangere-Otahuhu local board area","30-34 Years","Female","1999",2730,
"Mangere-Otahuhu local board area","30-34 Years","Female","2000",2740,
"Otara-Papatoetoe local board area","30-34 Years","Female","1996",2960,
"Otara-Papatoetoe local board area","30-34 Years","Female","1997",3000,
"Otara-Papatoetoe local board area","30-34 Years","Female","1998",2980,
"Otara-Papatoetoe local board area","30-34 Years","Female","1999",2980,
"Otara-Papatoetoe local board area","30-34 Years","Female","2000",2970,
"Manurewa local board area","30-34 Years","Female","1996",2980,
"Manurewa local board area","30-34 Years","Female","1997",3040,
"Manurewa local board area","30-34 Years","Female","1998",3090,
"Manurewa local board area","30-34 Years","Female","1999",3150,
"Manurewa local board area","30-34 Years","Female","2000",3190,
"Papakura local board area","30-34 Years","Female","1996",1610,
"Papakura local board area","30-34 Years","Female","1997",1560,
"Papakura local board area","30-34 Years","Female","1998",1570,
"Papakura local board area","30-34 Years","Female","1999",1560,
"Papakura local board area","30-34 Years","Female","2000",1560,
"Franklin local board area","30-34 Years","Female","1996",2080,
"Franklin local board area","30-34 Years","Female","1997",2080,
"Franklin local board area","30-34 Years","Female","1998",2100,
"Franklin local board area","30-34 Years","Female","1999",2070,
"Franklin local board area","30-34 Years","Female","2000",2050,
"Rodney local board area","35-39 Years","Female","1996",1750,
"Rodney local board area","35-39 Years","Female","1997",1870,
"Rodney local board area","35-39 Years","Female","1998",1910,
"Rodney local board area","35-39 Years","Female","1999",1930,
"Rodney local board area","35-39 Years","Female","2000",1950,
"Hibiscus and Bays local board area","35-39 Years","Female","1996",2840,
"Hibiscus and Bays local board area","35-39 Years","Female","1997",2970,
"Hibiscus and Bays local board area","35-39 Years","Female","1998",3050,
"Hibiscus and Bays local board area","35-39 Years","Female","1999",3050,
"Hibiscus and Bays local board area","35-39 Years","Female","2000",3060,
"Upper Harbour local board area","35-39 Years","Female","1996",1180,
"Upper Harbour local board area","35-39 Years","Female","1997",1300,
"Upper Harbour local board area","35-39 Years","Female","1998",1420,
"Upper Harbour local board area","35-39 Years","Female","1999",1480,
"Upper Harbour local board area","35-39 Years","Female","2000",1530,
"Kaipatiki local board area","35-39 Years","Female","1996",3110,
"Kaipatiki local board area","35-39 Years","Female","1997",3200,
"Kaipatiki local board area","35-39 Years","Female","1998",3310,
"Kaipatiki local board area","35-39 Years","Female","1999",3370,
"Kaipatiki local board area","35-39 Years","Female","2000",3420,
"Devonport-Takapuna local board area","35-39 Years","Female","1996",1990,
"Devonport-Takapuna local board area","35-39 Years","Female","1997",2080,
"Devonport-Takapuna local board area","35-39 Years","Female","1998",2150,
"Devonport-Takapuna local board area","35-39 Years","Female","1999",2160,
"Devonport-Takapuna local board area","35-39 Years","Female","2000",2170,
"Henderson-Massey local board area","35-39 Years","Female","1996",3400,
"Henderson-Massey local board area","35-39 Years","Female","1997",3600,
"Henderson-Massey local board area","35-39 Years","Female","1998",3800,
"Henderson-Massey local board area","35-39 Years","Female","1999",3880,
"Henderson-Massey local board area","35-39 Years","Female","2000",3930,
"Waitakere Ranges local board area","35-39 Years","Female","1996",2070,
"Waitakere Ranges local board area","35-39 Years","Female","1997",2090,
"Waitakere Ranges local board area","35-39 Years","Female","1998",2180,
"Waitakere Ranges local board area","35-39 Years","Female","1999",2230,
"Waitakere Ranges local board area","35-39 Years","Female","2000",2240,
"Aotea/Great Barrier local board area","35-39 Years","Female","1996",65,
"Aotea/Great Barrier local board area","35-39 Years","Female","1997",55,
"Aotea/Great Barrier local board area","35-39 Years","Female","1998",55,
"Aotea/Great Barrier local board area","35-39 Years","Female","1999",45,
"Aotea/Great Barrier local board area","35-39 Years","Female","2000",40,
"Waiheke local board area","35-39 Years","Female","1996",290,
"Waiheke local board area","35-39 Years","Female","1997",310,
"Waiheke local board area","35-39 Years","Female","1998",320,
"Waiheke local board area","35-39 Years","Female","1999",310,
"Waiheke local board area","35-39 Years","Female","2000",310,
"Waitemata local board area","35-39 Years","Female","1996",1940,
"Waitemata local board area","35-39 Years","Female","1997",2130,
"Waitemata local board area","35-39 Years","Female","1998",2210,
"Waitemata local board area","35-39 Years","Female","1999",2270,
"Waitemata local board area","35-39 Years","Female","2000",2280,
"Whau local board area","35-39 Years","Female","1996",2370,
"Whau local board area","35-39 Years","Female","1997",2510,
"Whau local board area","35-39 Years","Female","1998",2700,
"Whau local board area","35-39 Years","Female","1999",2830,
"Whau local board area","35-39 Years","Female","2000",2900,
"Albert-Eden local board area","35-39 Years","Female","1996",3870,
"Albert-Eden local board area","35-39 Years","Female","1997",4070,
"Albert-Eden local board area","35-39 Years","Female","1998",4170,
"Albert-Eden local board area","35-39 Years","Female","1999",4250,
"Albert-Eden local board area","35-39 Years","Female","2000",4280,
"Puketapapa local board area","35-39 Years","Female","1996",1910,
"Puketapapa local board area","35-39 Years","Female","1997",2040,
"Puketapapa local board area","35-39 Years","Female","1998",2110,
